URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/security-role-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.978",SecurityRoleType,SecurityRoleType,"This example FHIR value set is comprised of example Actor Type codes, which can be used to value FHIR agents, actors, and other role         elements such as those specified in financial transactions. The FHIR Actor value set is based on    DICOM Audit Message, C402;   ASTM Standard, E1762-95 [2013]; selected codes and          derived actor roles from HL7 RoleClass OID 2.16.840.1.113883.5.110;    HL7 Role Code 2.16.840.1.113883.5.111, including AgentRoleType;          HL7 ParticipationType OID: 2.16.840.1.113883.5.90; and    HL7 ParticipationFunction codes OID: 2.16.840.1.113883.5.88.           This value set includes, by reference, role codes from external code systems: NUCC Health Care Provider Taxonomy OID: 2.16.840.1.113883.6.101;          North American Industry Classification System [NAICS]OID: 2.16.840.1.113883.6.85; IndustryClassificationSystem 2.16.840.1.113883.1.11.16039;          and US Census Occupation Code OID: 2.16.840.1.113883.6.243 for relevant recipient or custodian codes not included in this value set.            If no source is indicated in the definition comments, then these are example FHIR codes.          It can be extended with appropriate roles described by SNOMED as well as those described in the HL7 Role Based Access Control Catalog and the          HL7 Healthcare (Security and Privacy) Access Control Catalog.            In Role-Based Access Control (RBAC), permissions are operations on an object that a user wishes to access. Permissions are grouped into roles.          A role characterizes the functions a user is allowed to perform. Roles are assigned to users. If the user's role has the appropriate permissions          to access an object, then that user is granted access to the object. FHIR readily enables RBAC, as FHIR Resources are object types and the CRUDE          events (the FHIR equivalent to permissions in the RBAC scheme) are operations on those objects.          In Attribute-Based Access Control (ABAC), a user requests to perform operations on objects. That user's access request is granted or denied          based on a set of access control policies that are specified in terms of attributes and conditions. FHIR readily enables ABAC, as instances of          a Resource in FHIR (again, Resources are object types) can have attributes associated with them. These attributes include security tags,          environment conditions, and a host of user and object characteristics, which are the same attributes as those used in ABAC. Attributes help          define the access control policies that determine the operations a user may perform on a Resource (in FHIR) or object (in ABAC). For example,          a tag (or attribute) may specify that the identified Resource (object) is not to be further disclosed without explicit consent from the patient.","StructureDefinition/ConsentimentoBiometria,StructureDefinition/AutenticacaoBiometricaFacial","THO (V3),Internal,THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/AtendimentoBiometria","THO"
http://terminology.hl7.org/ValueSet/v2-0092,3.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/AtendimentoBiometria","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/AtendimentoBiometria","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/AtendimentoBiometria","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-PurposeOfUse,3.1.0,active,"2.16.840.1.113883.1.11.20448",PurposeOfUse,PurposeOfUse,"Supports communication of purpose of use at a general level.","StructureDefinition/ConsentimentoBiometria,StructureDefinition/AutenticacaoBiometricaFacial","THO (V3)"
https://biometria.gointerop.com/fhir/ValueSet/canal-autenticacao-biometrica,0.1.0,active,,CanalAutenticacaoBiometrica,Canal de Autenticação Biométrica,"Canal utilizado para autenticação biométrica do beneficiário.",,"THO (V3)"
https://biometria.gointerop.com/fhir/ValueSet/canal-autenticacao-vs,0.1.0,active,,CanalAutenticacaoVS,Canal de Autenticação Biométrica,"Canal utilizado na autenticação biométrica facial do beneficiário.","StructureDefinition/ext-canal-autenticacao","Internal"
https://biometria.gointerop.com/fhir/ValueSet/liveness-resultado-vs,0.1.0,active,,LivenessResultadoVS,Resultado da Prova de Vida,"Resultado da verificação de prova de vida (liveness detection) passiva.","StructureDefinition/ext-liveness-detection","Internal"
https://biometria.gointerop.com/fhir/ValueSet/resultado-biometrico,0.1.0,active,,ResultadoBiometrico,Resultado da Verificação Biométrica,"Resultado da verificação biométrica facial de um beneficiário.",,"Internal"
https://biometria.gointerop.com/fhir/ValueSet/resultado-verificacao-biometrica,0.1.0,active,,ResultadoVerificacaoBiometrica,Resultado da Verificação Biométrica Facial,"Indica o resultado da comparação biométrica entre a foto capturada e o template armazenado.",,"THO (V3)"
https://biometria.gointerop.com/fhir/ValueSet/status-biometrico-vs,0.1.0,active,,StatusBiometricoVS,Status de Cadastro Biométrico,"Valores possíveis para o status do cadastro biométrico facial do beneficiário.","StructureDefinition/ext-status-biometrico","Internal"
